date,hour,temperature_c
2025-12-11,0,14.800000000000002
2025-12-11,1,14.199999999999998
2025-12-11,2,13.699999999999998
2025-12-11,3,13.300000000000002
2025-12-11,4,12.9
2025-12-11,5,12.5
2025-12-11,6,12.133333333333333
2025-12-11,7,13.200000000000001
2025-12-11,8,17.400000000000002
2025-12-11,9,21.600000000000005
2025-12-11,10,24.3
2025-12-11,11,26.133333333333336
2025-12-11,12,27.366666666666664
2025-12-11,13,28.03333333333333
2025-12-11,14,28.166666666666668
2025-12-11,15,27.733333333333334
2025-12-11,16,26.7
2025-12-11,17,23.733333333333334
2025-12-11,18,20.8
2025-12-11,19,18.966666666666665
2025-12-11,20,17.466666666666665
2025-12-11,21,16.333333333333332
2025-12-11,22,15.333333333333334
2025-12-11,23,14.299999999999999
